pack,integration_id,display_name,yml_path,py_exists,has_long_running_dispatch,longRunningPort,coexisting_flags,suggested_capability,rationale
AWS-SNS-Listener,AWSSNSListener,AWS-SNS-Listener,Packs/AWS-SNS-Listener/Integrations/AWSSNSListener/AWSSNSListener.yml,true,true,true,isFetchSamples,Automation,"matched markers: Fetch Issues, Webhook Receiver"
Mattermost,MattermostV2,Mattermost v2,Packs/Mattermost/Integrations/MattermostV2/MattermostV2.yml,true,true,false,,Automation,"matched markers: Fetch Issues, Connection Health"
MicrosoftTeams,MicrosoftTeams,Microsoft Teams,Packs/MicrosoftTeams/Integrations/MicrosoftTeams/MicrosoftTeams.yml,true,true,true,isFetchSamples,Automation,"matched markers: Fetch Issues, Webhook Receiver"
Slack,SlackV3,Slack v3,Packs/Slack/Integrations/SlackV3/SlackV3.yml,true,true,false,isFetchSamples,Automation,"matched markers: Fetch Issues, Connection Health"
Slack,SlackV3v2,Slack v3,Packs/Slack/Integrations/SlackV3v2/SlackV3v2.yml,true,true,false,isFetchSamples,Automation,"matched markers: Fetch Issues, Connection Health"
Workday,WorkdayIAMEventsGenerator,Workday IAM Event Generator (Beta),Packs/Workday/Integrations/WorkdayIAMEventsGenerator/WorkdayIAMEventsGenerator.yml,true,true,true,,Automation,matched markers: Webhook Receiver
Workday,WorkdaySignonEventGenerator,Workday Signon Event Generator (Beta),Packs/Workday/Integrations/WorkdaySignonEventGenerator/WorkdaySignonEventGenerator.yml,true,true,true,,Automation,matched markers: Webhook Receiver
Zoom,Zoom,Zoom,Packs/Zoom/Integrations/Zoom/Zoom.yml,true,true,true,,Automation,matched markers: Webhook Receiver
QRadar,QRadar_v3,IBM QRadar v3,Packs/QRadar/Integrations/QRadar_v3/QRadar_v3.yml,true,true,false,isFetchSamples;isremotesyncin,Fetch Issues,matched markers: Fetch Issues
Syslog,Syslogv2,Syslog v2,Packs/Syslog/Integrations/Syslogv2/Syslogv2.yml,true,true,true,isFetchSamples,Automation,matched markers: Fetch Issues
Akamai_SIEM,Akamai_SIEM,Akamai WAF SIEM,Packs/Akamai_SIEM/Integrations/Akamai_SIEM/Akamai_SIEM.yml,true,true,false,isfetch;isfetchevents,Log Collection,"matched markers: Fetch Issues, Log Collection"
LookoutMobileEndpointSecurity,LookoutMobileEndpointSecurity,Lookout Mobile Endpoint Security,Packs/LookoutMobileEndpointSecurity/Integrations/LookoutMobileEndpointSecurity/LookoutMobileEndpointSecurity.yml,true,true,false,,Log Collection,matched markers: Log Collection
ProofpointEmailSecurity,ProofpointEmailSecurityEventCollector,Proofpoint Email Security Event Collector,Packs/ProofpointEmailSecurity/Integrations/ProofpointEmailSecurityEventCollector/ProofpointEmailSecurityEventCollector.yml,true,true,false,isfetchevents,Log Collection,matched markers: Log Collection
RetarusSecureEmailGateway,RetarusSecureEmailGateway,Retarus Secure Email Gateway,Packs/RetarusSecureEmailGateway/Integrations/RetarusSecureEmailGateway/RetarusSecureEmailGateway.yml,true,true,false,,Log Collection,matched markers: Log Collection
SymantecCloudSecureWebGateway,SymantecCloudSecureWebGatewayEventCollector,Symantec Cloud Secure Web Gateway Event Collector,Packs/SymantecCloudSecureWebGateway/Integrations/SymantecCloudSecureWebGatewayEventCollector/SymantecCloudSecureWebGatewayEventCollector.yml,true,true,false,,Log Collection,matched markers: Log Collection
SymantecEndpointSecurity,SymantecEndpointSecurity,Symantec Endpoint Security,Packs/SymantecEndpointSecurity/Integrations/SymantecEndpointSecurity/SymantecEndpointSecurity.yml,true,true,false,,Log Collection,matched markers: Log Collection
EDL,EDL,Generic Export Indicators Service,Packs/EDL/Integrations/EDL/EDL.yml,true,true,true,,Threat Intelligence & Enrichment,matched markers: Indicator Export
TAXIIServer,TAXII2Server,TAXII2 Server,Packs/TAXIIServer/Integrations/TAXII2Server/TAXII2Server.yml,true,true,true,,Threat Intelligence & Enrichment,matched markers: Indicator Export
TAXIIServer,TAXIIServer,TAXII Server,Packs/TAXIIServer/Integrations/TAXIIServer/TAXIIServer.yml,true,true,true,,Threat Intelligence & Enrichment,matched markers: Indicator Export
